id,Q2,Q6,Q8,Q10,Q12,Q14,Q19,Q17,Q21,Q26,Q24,Q28,Q30,Q32,Q34,age,organization_var,frame_var,weight
19,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,32,1,1,0.118696041
20,Male,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",3,4,Important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,28,1,3,5.49E-05
21,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a month,29,2,2,0.118696041
22,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,28,1,2,0.118696041
23,Male,University degree,Very proud,Urban,Urban,Both equally,7,7,"Yes, I will tell them not to buy pangolin products.",4,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,33,1,3,5.49E-05
24,Male,High school degree,Very proud,Rural,Both,Both equally,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,35,2,1,10.00008081
25,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,33,2,3,0.118696041
26,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,34,2,2,0.118696041
27,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,35,1,2,0.118696041
28,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,31,1,3,0.118696041
29,Female,Post-graduate degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,34,2,3,0.118696041
30,Male,University degree,Very proud,Urban,Urban,Both equally,7,7,"Yes, I will tell them not to buy pangolin products.",5,5,Very important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,26,2,1,5.49E-05
31,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,31,1,1,0.118696041
32,Female,University degree,Very proud,Urban,Both,Northern Vietnam,6,6,"Yes, I will tell them not to buy pangolin products.",4,6,Important,Slightly important,"No, I have not used traditional Chinese medicine.",A few times a year,25,2,2,0.118696041
33,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,3,Important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,29,1,3,0.118696041
34,Male,University degree,Very proud,Rural,Rural,Northern Vietnam,7,2,"Yes, I will tell them not to buy pangolin products.",2,7,Very important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,39,2,3,0.00169562
35,Male,University degree,Very proud,Urban,Rural,Northern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",5,5,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,24,1,2,5.49E-05
36,Female,Post-graduate degree,Very proud,Urban,Both,Both equally,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,35,1,2,0.118696041
37,Female,Less than high school degree,Very proud,Rural,Rural,Southern Vietnam,3,1,"Yes, I will tell them not to buy pangolin products.",7,6,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a month,29,1,1,10.00008081
38,Female,University degree,Very proud,Urban,Rural,Northern Vietnam,7,1,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,40,2,1,0.118696041
39,Male,High school degree,Very proud,Rural,Rural,Northern Vietnam,6,6,"Yes, I will tell them not to buy pangolin products.",3,5,Important,Important,"No, I have not used traditional Chinese medicine.",Not at all,27,2,1,10.00008081
40,Male,High school degree,Very proud,Rural,Rural,Southern Vietnam,1,1,"Yes, I will tell them not to buy pangolin products.",2,2,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,22,2,2,10.00008081
41,Male,University degree,Very proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,5,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a week,24,2,1,5.49E-05
42,Male,Post-graduate degree,Very proud,Urban,Both,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",3,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,40,2,3,5.49E-05
43,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,31,2,2,0.118696041
44,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,5,5,"Yes, I will tell them not to buy pangolin products.",3,6,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,43,2,3,0.118696041
45,Male,High school degree,Very proud,Urban,Urban,Northern Vietnam,6,6,"Yes, I will tell them not to buy pangolin products.",2,4,Slightly important,Important,"Yes, I have used traditional Chinese medicine.",Not at all,57,1,1,0.779549616
46,Male,University degree,Very proud,Rural,Both,Both equally,5,7,"Yes, I will tell them not to buy pangolin products.",3,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,22,1,3,0.00169562
47,Male,Post-graduate degree,Very proud,Urban,Both,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,2,3,5.49E-05
48,Male,University degree,Very proud,Rural,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,32,2,1,0.00169562
49,Male,University degree,Somewhat proud,Rural,Both,Both equally,7,1,"Yes, I will tell them not to buy pangolin products.",2,3,Very important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,39,2,2,0.00169562
50,Male,University degree,Very proud,Urban,Rural,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,4,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,24,1,1,5.49E-05
51,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,6,6,"Yes, I will tell them not to buy pangolin products.",2,5,Important,Important,"No, I have not used traditional Chinese medicine.",Not at all,37,1,2,0.118696041
52,Male,University degree,Very proud,Rural,Rural,Both equally,4,4,"Yes, I will tell them not to buy pangolin products.",1,4,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,41,2,1,0.00169562
53,Female,University degree,Somewhat proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,7,Slightly important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,34,1,2,0.118696041
54,Female,Post-graduate degree,Very proud,Urban,Both,Southern Vietnam,7,5,"Yes, I will tell them not to buy pangolin products.",2,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,38,1,1,0.118696041
55,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,39,2,3,0.118696041
56,Male,University degree,Very proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,6,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a week,24,1,3,5.49E-05
57,Female,University degree,Very proud,Urban,Rural,Northern Vietnam,6,4,"Yes, I will tell them not to buy pangolin products.",4,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,31,1,2,0.118696041
58,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",Everyday,41,2,2,0.118696041
59,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,27,2,1,0.118696041
60,Male,University degree,Very proud,Urban,Rural,Northern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",2,3,Important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,46,1,3,5.49E-05
61,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",Everyday,41,1,2,0.118696041
62,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,28,1,1,0.118696041
63,Female,University degree,Very proud,Urban,Rural,Northern Vietnam,2,2,"No, I will let them decide what to do.",1,3,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,37,2,3,0.118696041
64,Male,University degree,Very proud,Urban,Both,Southern Vietnam,6,5,"Yes, I will tell them not to buy pangolin products.",4,4,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a month,42,2,3,5.49E-05
65,Female,High school degree,Somewhat proud,Urban,Urban,Southern Vietnam,7,6,"Yes, I will tell them not to buy pangolin products.",5,6,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,36,1,3,10.00008081
66,Male,Less than high school degree,Very proud,Urban,Urban,Southern Vietnam,7,1,"Yes, I will tell them not to buy pangolin products.",1,1,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a month,25,2,1,0.779549616
67,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,26,1,2,0.118696041
68,Female,University degree,Very proud,Urban,Both,Southern Vietnam,1,1,"Yes, I will tell them not to buy pangolin products.",2,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,21,2,2,0.118696041
69,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,56,2,2,5.49E-05
70,Female,High school degree,Very proud,Urban,Urban,Northern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",6,6,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,19,1,1,10.00008081
71,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,31,1,1,5.49E-05
72,Male,University degree,Somewhat proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,34,2,2,5.49E-05
73,Male,High school degree,Very proud,Urban,Urban,Southern Vietnam,7,6,"Yes, I will tell them not to buy pangolin products.",3,7,Very important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,22,1,2,0.779549616
74,Female,High school degree,Very proud,Urban,Urban,Neither,1,1,"Yes, I will tell them not to buy pangolin products.",1,1,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,37,1,3,10.00008081
75,Female,Post-graduate degree,Very proud,Urban,Rural,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,39,2,1,0.118696041
76,Female,University degree,Very proud,Urban,Urban,Both equally,7,7,"Yes, I will tell them not to buy pangolin products.",4,6,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,40,2,3,0.118696041
77,Male,University degree,Very proud,Urban,Rural,Southern Vietnam,6,1,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,44,2,1,5.49E-05
78,Male,University degree,Very proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a week,24,2,2,5.49E-05
79,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,6,"Yes, I will tell them not to buy pangolin products.",3,6,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,27,2,3,0.118696041
80,Male,University degree,Very proud,Rural,Rural,Northern Vietnam,6,1,"Yes, I will tell them not to buy pangolin products.",3,6,Important,Important,"No, I have not used traditional Chinese medicine.",Not at all,27,1,1,0.00169562
81,Male,University degree,Somewhat proud,Urban,Urban,Northern Vietnam,5,6,"No, I will let them decide what to do.",2,4,Not important at all,Not important at all,"Yes, I have used traditional Chinese medicine.",A few times a year,41,1,3,5.49E-05
82,Male,University degree,Very proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",5,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,30,2,1,5.49E-05
83,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,1,3,5.49E-05
84,Male,University degree,Somewhat proud,Urban,Rural,Northern Vietnam,7,6,"Yes, I will tell them not to buy pangolin products.",5,5,Important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a year,36,2,3,5.49E-05
85,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,31,1,2,0.118696041
86,Female,University degree,Very proud,Urban,Both,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,26,1,2,0.118696041
87,Male,High school degree,Very proud,Rural,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,21,2,2,10.00008081
88,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,26,1,1,0.118696041
89,Female,Post-graduate degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,4,Very important,Important,"Yes, I have used traditional Chinese medicine.",Everyday,34,2,1,0.118696041
90,Female,University degree,Not proud at all,Urban,Urban,Neither,7,7,"Yes, I will tell them not to buy pangolin products.",2,2,Not important at all,Not important at all,"No, I have not used traditional Chinese medicine.",Not at all,30,2,2,0.118696041
91,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,24,1,1,5.49E-05
92,Male,University degree,Very proud,Urban,Urban,Both equally,6,6,"No, I will let them decide what to do.",5,6,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,44,2,3,5.49E-05
93,Female,High school degree,Very proud,Rural,Rural,Northern Vietnam,6,6,"No, I will let them decide what to do.",4,4,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,24,1,2,10.00008081
94,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,2,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,35,2,3,0.118696041
95,Female,University degree,Very proud,Urban,Rural,Northern Vietnam,3,4,"Yes, I will tell them not to buy pangolin products.",2,2,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,19,1,3,0.118696041
96,Male,University degree,Very proud,Rural,Rural,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,37,2,2,0.00169562
97,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",6,6,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,38,1,3,0.118696041
98,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",3,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,32,2,1,0.118696041
99,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,4,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,24,1,2,5.49E-05
100,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Important,Important,"No, I have not used traditional Chinese medicine.",Not at all,39,1,3,5.49E-05
101,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,57,2,3,5.49E-05
102,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,33,2,2,0.118696041
103,Male,University degree,Very proud,Rural,Rural,Northern Vietnam,5,5,"Yes, I will tell them not to buy pangolin products.",5,4,Slightly important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a month,25,1,1,0.00169562
104,Male,High school degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Slightly important,Slightly important,"No, I have not used traditional Chinese medicine.",A few times a year,34,2,3,0.779549616
105,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,2,7,"Yes, I will tell them not to buy pangolin products.",5,7,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,1,2,5.49E-05
106,Male,High school degree,Somewhat proud,Rural,Rural,Northern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",5,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,31,1,1,10.00008081
107,Female,High school degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,6,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,29,1,3,10.00008081
108,Male,University degree,Not very proud,Urban,Rural,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",3,3,Important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,26,2,3,5.49E-05
109,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,6,1,"Yes, I will tell them not to buy pangolin products.",3,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,35,1,2,0.118696041
110,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,30,1,1,5.49E-05
111,Male,University degree,Very proud,Urban,Both,Northern Vietnam,7,6,"Yes, I will tell them not to buy pangolin products.",6,5,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,29,2,1,5.49E-05
112,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,7,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,2,2,5.49E-05
113,Female,University degree,Very proud,Urban,Both,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,37,2,1,0.118696041
114,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,38,2,2,0.118696041
115,Male,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,6,Important,Important,"No, I have not used traditional Chinese medicine.",Not at all,26,2,3,5.49E-05
116,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,4,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,33,1,3,5.49E-05
117,Male,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,46,1,3,5.49E-05
118,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,38,1,2,0.118696041
119,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,6,2,"Yes, I will tell them not to buy pangolin products.",5,5,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,24,2,2,0.118696041
120,Female,University degree,Very proud,Urban,Rural,Southern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",2,6,Important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,22,1,3,0.118696041
121,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,38,1,2,0.118696041
122,Male,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",3,5,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a month,31,2,1,5.49E-05
123,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,37,1,1,0.118696041
124,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,36,2,3,0.118696041
125,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",5,6,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a year,40,1,3,0.118696041
126,Male,University degree,Very proud,Urban,Urban,Northern Vietnam,4,5,"Yes, I will tell them not to buy pangolin products.",4,4,Slightly important,Important,"Yes, I have used traditional Chinese medicine.",A few times a month,45,2,2,5.49E-05
127,Male,Post-graduate degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Important,"No, I have not used traditional Chinese medicine.",Not at all,29,1,1,5.49E-05
128,Female,University degree,Very proud,Urban,Urban,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",6,6,Slightly important,Very important,"Yes, I have used traditional Chinese medicine.",Not at all,29,1,3,0.118696041
129,Female,University degree,Very proud,Rural,Rural,Northern Vietnam,7,6,"No, I will let them decide what to do.",5,6,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,44,2,2,3.663160372
130,Male,Post-graduate degree,Very proud,Urban,Urban,Southern Vietnam,2,2,"Yes, I will tell them not to buy pangolin products.",2,2,Very important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a month,56,2,1,5.49E-05
